,station_id,latitude,longitude
139,4028.04,40.673746,-73.985649
140,4033.06,40.67418060000001,-73.95649470000001
141,4042.08,40.674012299999994,-73.9671457
142,4045.01,40.67434,-74.00194698
143,4051.01,40.675146838709786,-73.9752320945263
144,4054.02,40.6753274,-74.0100698
145,4060.09,40.6751622,-73.9814832
146,4066.15,40.67638886,-73.952920198
147,4074.03,40.676519799999994,-73.9596082
148,4077.04,40.67469570000001,-73.99785768
149,4077.07,40.6763947,-73.99869893
150,4086.05,40.6769993,-74.00647134
151,4086.06,40.6763744,-74.00324957
152,4095.03,40.6773429,-74.01275056
153,4095.1,40.675832943912894,-74.01472628116608
154,4101.17,40.676757,-73.983262
155,4107.05,40.6758324,-73.95616770000001
156,4107.13,40.67759206937376,-73.95563721656801
157,4110.1,40.6777287,-73.99364123
158,4116.08,40.6769694,-73.96579
159,4119.04,40.6783563,-74.00014502
160,4124.04,40.680356084043396,-73.94767910242079
161,4125.07,40.67761470000001,-73.97324283
162,4128.08,40.677774799999995,-74.0094613
163,4134.06,40.6765304,-73.97846879
164,4137.1,40.677236,-74.015665
165,4137.14,40.67818387977647,-74.0170168876648
166,4143.03,40.67909799721684,-73.98765474557877
167,4143.04,40.677027,-73.9865
168,4148.07,40.67919439999999,-73.95879029999999
169,4151.01,40.678724200000005,-73.99599099
170,4157.1,40.6794388,-73.96804379999999
171,4161.01,40.678724408,-73.903619409
172,4166.08,40.6793307,-73.97519523
173,4169.04,40.679043,-74.011169
174,4175.14,40.67927879999999,-73.98154004
175,4175.15,40.6772744,-73.98282002
176,4184.07,40.678501725,-73.990266085
177,4190.06,40.678045000000004,-73.962408
178,4193.14,40.68099761,-73.999254942
179,4199.12,40.68097410000001,-73.97100970000001
180,4202.04,40.67943270000001,-74.00785041
181,4203.04,40.67945,-73.90474
182,4205.06,40.67890679,-73.94142771
183,4208.01,40.678970070475735,-73.9785526692867
184,4214.03,40.6809833854,-73.9500479759
185,4217.02,40.6802133,-73.98432695
186,4222.02,40.680342423,-73.9557689392
187,4225.14,40.680611,-73.99475825
188,4228.02,40.6794268,-73.92989109999999
189,4231.04,40.6804836,-73.9646795
190,4237.01,40.6814598,-73.934903
191,4237.02,40.6800105,-73.938475
192,4243.01,40.681211700000006,-74.00860912
193,4244.06,40.68139,-73.90756
194,4249.1,40.68177810928761,-73.97988975048065
195,4255.05,40.682180405,-73.953856468
196,4258.07,40.681923389,-73.990777373
197,4263.12,40.68186,-73.95943199999999
198,4266.03,40.683116399999996,-73.99785267
199,4278.03,40.682601,-73.938037
200,4281.08,40.680944723477296,-73.97567331790923
201,4285.09,40.683339238,-73.911579132
202,4290.08,40.683426000000004,-73.984275
203,4298.05,40.6829151,-73.99318208
204,4317.05,40.68280828,-73.906210899
205,4319.07,40.682368700000005,-73.944118
206,4322.06,40.68256425759694,-73.97989779710771
207,4327.09,40.684020000000004,-73.94977
208,4330.09,40.6843549,-73.98901629
209,4336.01,40.68458271,-73.958835602
210,4339.01,40.6849894,-73.99440329
211,4345.11,40.68323865460341,-73.96599590778352
212,4348.07,40.6830456,-74.00348559
213,4354.05,40.68539567,-73.97431458
214,4354.07,40.68382604,-73.97632328
215,4357.01,40.684606194000004,-73.90920043
216,4362.04,40.6853761,-73.98302136
217,4366.01,40.68565,-73.91564
218,4368.05,40.6851443,-73.95380904
219,4371.01,40.68542400997018,-73.99127773940562
220,4374.01,40.68512559515415,-74.02535319328308
221,4377.04,40.68488,-73.96304
222,4380.08,40.684751399999996,-73.99917254
223,4386.05,40.68415748,-73.96922273
224,4392.04,40.6851532,-73.94111
